,bType,pType,ranges,PA,AB,H,BB,1B,2B,3B,HR,R,K,SF,DP,Adv 2nd,SA,SB,AVG,OBP,ER6,,,,,
16,All,NH,OLD,418228,376409,103589,36855,48901,31510,10892,12286,53981,72726,4964,7875,4113,37077,23084,0.275203303,0.335807263,3.23886,,,,,
43,All,NH,OLD,418357,376772,103890,36738,49346,31137,10947,12460,54091,72720,4847,7859,4030,37425,23314,0.275737051,0.336143533,3.24546,,Old,High,Low,Avg
70,All,NH,OLD,418154,376602,103834,36734,49552,31222,10758,12302,54252,72714,4818,7963,4057,37500,23363,0.275712821,0.336163232,3.25512,,,3.282,3.239,3.256
97,All,NH,OLD,419033,376903,104118,37140,49306,31469,10907,12436,54696,72263,4990,7982,4051,37226,23324,0.276246143,0.337104715,3.28176,,-,-,-,-
124,All,NH,OLD,418436,376839,103992,36738,49350,31449,10861,12332,54274,72723,4859,7842,4153,37471,23364,0.275958699,0.336323834,3.25644,,-,-,-,-
159,All,NT,NEW,415341,358196,88449,53760,41028,21749,4961,20711,54343,64030,3385,12078,4929,39271,24481,0.246929056,0.342390951,3.26058,,New,High,Low,Avg
186,All,NT,NEW,415636,358459,88562,53747,41104,21849,4899,20710,54493,64242,3430,12032,4883,39222,24581,0.247063123,0.342388532,3.26958,,,3.286,3.257,3.271
213,All,NT,NEW,415713,358242,88816,54090,41168,21911,4957,20780,54770,64203,3381,12285,4984,39470,24562,0.247921796,0.343761201,3.2862,,,,,
240,All,NT,NEW,416142,358352,88936,54340,41512,21981,4947,20496,54735,63805,3450,12280,4961,39786,24932,0.24818056,0.344295937,3.2841,,Diffs,0.021,0.008,0.016
267,All,NT,NEW,415452,358032,88197,53996,40785,22062,4932,20418,54279,64331,3424,12066,4781,39139,24464,0.246338316,0.342260959,3.25674,,,,,
24,All,NT,OLD,415437,357858,88149,54112,41113,21698,4887,20451,54141,64069,3467,11600,4554,38734,24067,0.246323961,0.342437,3.24846,,,,,
51,All,NT,OLD,416842,358926,89448,54302,41649,22125,5090,20584,55038,64064,3614,11590,4577,39058,24321,0.249210144,0.344854885,3.30228,,Old,High,Low,Avg
78,All,NT,OLD,416420,358892,89033,54143,41209,22198,4883,20743,54842,64219,3385,11547,4572,38748,24156,0.248077416,0.343825945,3.29052,,,3.307,3.248,3.287
105,All,NT,OLD,416348,358707,88607,54157,40929,22044,4861,20773,54791,64235,3484,11433,4510,38461,24059,0.247017761,0.342895847,3.28746,,-,-,-,-
132,All,NT,OLD,416813,359007,88994,54358,41289,22094,4999,20612,55114,64325,3448,11453,4599,38583,24108,0.247889317,0.343924014,3.30684,,-,-,-,-
160,All,SF,NEW,415643,385201,116905,27427,78207,18124,4171,16403,53469,47950,3015,11048,3857,46944,29303,0.303490905,0.347249924,3.20814,,New,High,Low,Avg
187,All,SF,NEW,415893,385660,117418,27277,78783,17830,4191,16614,53882,47738,2956,10973,3816,47518,29689,0.304459887,0.347914007,3.23292,,,3.233,3.167,3.195
214,All,SF,NEW,415028,384985,116790,27116,78551,17883,4148,16208,52947,47457,2927,11124,3946,47108,29354,0.303362469,0.346738051,3.17682,,,,,
241,All,SF,NEW,415056,384738,116462,27423,78174,17862,4176,16250,52777,47357,2895,11054,3883,47307,29532,0.302704698,0.346664065,3.16662,,Diffs,0.023,0.000,0.002
268,All,SF,NEW,415067,384868,116542,27299,78176,17802,4149,16415,53170,47452,2900,11151,3905,46981,29358,0.302810314,0.34654887,3.1902,,,,,
25,All,SF,OLD,415976,385447,117125,27552,78594,17959,4166,16406,53466,47477,2977,10577,3509,46696,29119,0.303867977,0.347801315,3.20796,,,,,
52,All,SF,OLD,415686,385316,116917,27413,78733,17808,3963,16413,53506,47201,2957,10670,3631,46626,29202,0.303431469,0.347209192,3.21036,,Old,High,Low,Avg
79,All,SF,OLD,415633,385499,116840,27233,78175,17984,4080,16601,53397,47543,2901,10511,3701,46770,29343,0.303087686,0.346635132,3.20382,,,3.210,3.166,3.197
106,All,SF,OLD,415052,384751,116292,27286,78257,17680,4035,16320,52769,47094,3015,10606,3616,46427,29034,0.302252626,0.345927739,3.16614,,-,-,-,-
133,All,SF,OLD,415733,385345,117146,27417,78551,17993,4059,16543,53291,47387,2971,10773,3623,46464,28920,0.304002906,0.347730394,3.19746,,-,-,-,-
154,All,TD,NEW,410290,374356,100955,31180,43165,30160,12118,15512,53909,53718,4754,9231,5512,33279,20665,0.269676458,0.322052694,3.23454,,New,High,Low,Avg
181,All,TD,NEW,409929,374067,100790,31060,43148,29892,12280,15470,53815,53373,4802,9369,5373,33304,20752,0.269443709,0.321641065,3.2289,,,3.235,3.184,3.222
208,All,TD,NEW,410110,374030,100722,31264,43121,29888,12285,15428,53830,53872,4816,9220,5389,33415,20759,0.26928856,0.321830728,3.2298,,,,,
235,All,TD,NEW,408991,373071,99560,31188,42677,29567,12111,15205,53060,53466,4732,9334,5498,33205,20782,0.266866093,0.319684296,3.1836,,Diffs,0.016,0.021,0.009
262,All,TD,NEW,410390,374100,100681,31532,43041,29722,12391,15527,53912,53446,4758,9248,5483,33595,21020,0.269128575,0.322164283,3.23472,,,,,
19,All,TD,OLD,410114,373832,100422,31422,43077,29670,12234,15441,53650,53306,4860,9147,5099,32665,20401,0.268628689,0.321481344,3.219,,,,,
